ProposedDescription,TotalLoadCount,ExampleLegacyDescriptions,ClientAction,Notes
"2"" MINUS",362,"2"" MINUS (WS) | 2"" MINUS (CC) | 2"" MINUS (BLUEWING PB)",KEEP,
ROCK (HOURLY),344,HOURLY (ROCK) | HOURLY ROCK (ICM-WP) | HOURLY (ROCK),KEEP,
RAP,326,RAP | RAP (WP) | RAP (WILLOW),KEEP,
TRAP SAND,321,TRAP SAND (BUTLER) | TRAP SAND (IRON MTN),KEEP,
"1"" WHITE COMM BASE",274,"1"" WHITE COMM BASE (WS)",KEEP,
"3/8"" CLEAN",261,"3/8"" CLEAN (BLUEWING PB) | 3/8"" CLEAN (VB Bluewing) | 3/8"" CLEAN (CC)",KEEP,
WORK TIME (HOURLY),241,HOURLY WORK TIME | HOURLY (WORK TIME) | HOURLY WORK TIME (PLANT),KEEP,
"2"" CLEAN",240,"2"" CLEAN (WS) | 2"" CLEAN (CC) | 2"" CLEAN (BLUEWING PB)",KEEP,
TOPSOIL,237,TOPSOIL | TOPSOIL (ICM) | TOPSOIL (WS),KEEP,
"3"" MINUS",234,"3"" MINUS (WS) | 3"" MINUS (SEMO) | 3"" MINUS (CC)",KEEP,
MFG SAND,231,MFG SAND (IRON MNT.),KEEP,
TENDER TRLR (HOURLY),211,HOURLY-TENDER TRLR,KEEP,
AGLIME (HAULING AND SPREADING),206,AGLIME (SPREADING AND HAULING) | AG-LIME (HEARTLAND) HAULING & SPREADING | AGLIME (WS) (SPREADING AND HAULING),KEEP,
CLASS 7 BASE,204,CLASS 7 BASE (BW),KEEP,
TYPE 5 BASE PERRYVILLE,184,TYPE 5 BASE PERRYVILLE,KEEP,
"3/8"" MINUS",174,"3/8"" MINUS (BLUEWING-PB)",KEEP,
MORTAR SAND,165,MORTAR SAND (DEXTER) | MORTAR SAND (BRENDAKAY),KEEP,
TYPE 1/5,149,TYPE 1/5 (SEMO) | TYPE 1/5 (COLT) | TYPE 1/5,KEEP,
GABION STONE,141,GABION STONE (WS) | GABIAN STONE | GABION STONE (BLUEWING),KEEP,
"1/4"" MINUS",138,"1/4"" MINUS (WS) | 1/4"" MINUS | 1/4"" MINUS (STOCKPILE)",KEEP,
BIT BASE,138,BIT BASE (FRUITLAND),KEEP,
50# RIP RAP,134,50# RIP RAP (WS),KEEP,
"43 1/2""X1/4""",118,"43 1/2""X1/4"" (IRON MNT.)",KEEP,
BEDDING MATERIAL,114,Bedding Material (BW),KEEP,
SHINGLES,114,SHINGLES (PEACHSTREET) | SHINGLES | SHINGLES (PB),KEEP,
SHOP HOURS,113,SHOP HOURS,KEEP,
ROCK/SHOULDERS (HOURLY),109,HOURLY (ROCK/SHOULDERS),KEEP,
RIP RAP #90,100,RIP RAP (#90) (WS) | RIP RAP (#90),KEEP,
"2 1/2"" BASE",99,"2 1/2"" BASE (ICM-DONIPHAN) | 2 1/2"" BASE (ARAB)",KEEP,
TYPE 1 BASE,98,TYPE 1 BASE,KEEP,
HAUL BACK (HOURLY),95,HOURLY (HAUL BACK) | HOURLY (HAULBACK),KEEP,
RIP RAP #200,95,Rip Rap #200 (BW) | RIP RAP #200 (WS),KEEP,
SAND,87,SAND | SAND (BUTLER) | SAND (DONIPHAN/ICM),KEEP,
"1"" WHITE BASE",81,"1"" WHITE BASE (WS)",KEEP,
"3 3/8""CLEAN",71,"3 3/8""CLEAN  (FARMINGTON)",KEEP,
PEA GRAVEL,69,PEA GRAVEL (DEXTER SAND) | PEA GRAVEL (BK) | PEA GRAVEL,KEEP,
RAP (HOURLY),69,HOURLY (RAP),KEEP,
"3"" CLEAN",68,"3"" CLEAN (WS) | 3"" CLEAN (SEMO) | 3"" CLEAN (BLUEWING)",KEEP,
DITCH CHECK (HOURLY),63,HOURLY (DITCH CHECK),KEEP,
"1/2"" M",62,"1/2"" M (DON | 1/2"" M (BASEROCK)",KEEP,
ROCK,61,ROCK | ROCK (BASE ROCK) | ROCK (CANE CREEK),KEEP,
BLOW SAND (HAULING),60,HAULING BLOW SAND,KEEP,
RIP RAP #50,55,RIP RAP #50 (WS) | RIP RAP (#50),KEEP,
MOVING PLANT (HOURLY),52,HOURLY (MOVING PLANT),KEEP,
SCREENINGS/TURKEY GRIT,52,"SCREENINGS/TURKEY GRIT (ICM) 1/4"" Minus",KEEP,
RED LIME,51,RED LIME (COLT R & L) | RED LIME | RED LIME (SCAGGS),KEEP,
BUSTED CONCRETE (HOURLY),46,HOURLY (BUSTED CONCRETE),KEEP,
DRIVEWAYS (HOURLY),43,HOURLY (DRIVEWAYS),KEEP,
SHOULDERS (HOURLY),42,HOURLY (SHOULDERS),KEEP,
AGLIME (SPREADING ONLY),39,AG LIME (SPREADING ONLY) | AGLIME (SPREADING ONLY)By The Acre,KEEP,
CLEAN UP (HOURLY),37,HOURLY (CLEAN UP),KEEP,
HAUL BACK,37,HAUL BACK,KEEP,
"1 1/2"" CLASS 7",35,"1 1/2"" CLASS 7 (CQ)",KEEP,
EDGE TREATMENT (HOURLY),34,HOURLY EDGE TRTMNT,KEEP,
"1"" SCRAP ROCK",33,"1"" SCRAP ROCK (WS)",KEEP,
"6"" MINUS",33,"6"" MINUS (WS)",KEEP,
"5/8"" TRAP",31,"5/8"" TRAP (BUTLER)",KEEP,
OVERSIZED GRAVEL,31,OVERSIZED GRAVEL (DEXTER) | OVERSIZE GRAVEL(BLUEWING) | OVERSIZE GRAVEL (WS),KEEP,
CONCRETE SAND,30,CONCRETE SAND | CONCRETE SAND (BRENDA KAY) | CONCRETE SAND (DEXTER),KEEP,
DIRT,29,DIRT (WS) | DIRT (PITS) | DIRT (SAND PIT),KEEP,
DIRT (HOURLY),29,HOURLY DIRT,KEEP,
"3/8"" PUG ROCK",27,"3/8"" PUG ROCK (CANE CREEK)",KEEP,
ASPHALT & ROCK (HOURLY),27,HOURLY (ASPHALT & ROCK),KEEP,
FUEL,25,FUEL,KEEP,
"2 1/2"" LATERAL",23,"2 1/2"" LATERAL (ARAB) | 2 1/2"" LATERAL (ICM-DNPHN)",KEEP,
SHOULDERS/DRIVEWAYS (HOURLY),22,HOURLY (SHOULDERS/DRIVEWAYS),KEEP,
PERMIT,19,PERMIT,KEEP,
ASPHALT/PLANT DOWN (HOURLY),18,HOURLY (ASPHALT/PLANT DOWN),KEEP,
JOB 23002.2 ACCIDENT 1000002 (HOURLY),17,HOURLY JOB 23002.2 ACCIDENT 1000002,DELETE,
CLEAN UP/HAUL BACK (HOURLY),16,HOURLY (CLEAN UP/HAUL BACK),KEEP,
EDGE TREATMENT,16,EDGE TREATMENT,KEEP,
TRIP PERMIT,16,TRIP PERMIT,KEEP,
1/5 BASE CC,15,1/5 BASE CC,KEEP,
"1/5"" BASE",15,"1/5"" BASE (WS)",KEEP,
HAULING SHINGLES (HOURLY),15,HOURLY (HAULING SHINGLES),KEEP,
MAN SAND (HOURLY),13,HOURLY MAN SAND (ICM-WS) | HOURLY MAN SAND,KEEP,
PLANT MOVE (HOURLY),13,HOURLY (PLANTMOVE),KEEP,
SKID STEER (HOURLY),12,HOURLY SKID STEER | HOURLY (SKIDSTEER),KEEP,
"1/2"" BASE",11,"1/2"" BASE (VBS)",KEEP,
HAUL OFF (HOURLY),11,HOURLY (HAUL OFF),KEEP,
PATCHES (HOURLY),11,HOURLY (PATCHES),KEEP,
ROCK HAUL (HOURLY),11,HOURLY (ROCK HAUL),KEEP,
BASE ROCK,10,BASE ROCK,KEEP,
MAN SAND,10,MAN SAND (WS),KEEP,
MILLING,10,MILLINGS,KEEP,
STATE CONCRETE SAND,10,STATE CONCRETE SAND (DEXTER),KEEP,
ACCIDENT DOWN TIME,9,ACCIDENT DOWN TIME,DELETE,
C. BALLAST,9,C. BALLAST,KEEP,
CLAY,8,CLAY,KEEP,
CREDIT CARD FEE,8,CREDIT CARD FEE,DELETE,
DIRT HAUL (HOURLY),8,HOURLY (DIRT HAUL),KEEP,
DITCH REMOVAL (HOURLY),8,HOURLY (DITCH REMOVAL),KEEP,
FILL SAND,8,FILL SAND | FILL SAND (WS) | FILL SAND (BRENDA KAY),KEEP,
GYPSUM,8,GYPSUM (Prairie State) | GYPSUM,KEEP,
HEAVY DIRT,8,HEAVY DIRT,KEEP,
JAW ROCK,8,JAW ROCK (ICM),KEEP,
RAP/MILLING (HAUL BACK),8,BACK HAUL RAP/MILLING,KEEP,
TYPE 2 ROCK BLANKET,8,TYPE 2 ROCK BLANKET (BW),KEEP,
"1 1/2"" CLEAN GRAVEL",7,"1 1/2"" CLEAN GRAVEL (WS)",KEEP,
BUSTED ASPHALT (HOURLY),7,HOURLY (BUSTED ASPHALT),KEEP,
LANDSCAPE BLEND,7,LANDSCAPE BLEND (BRENDA) 1 1/8 | LANDSCAPE BLEND (BRENDA) | LANDSCAPE BLEND,KEEP,
SAND (HAULING),7,HAULING SAND,KEEP,
"1"" MINUS BROWN",6,"1"" MINUS BROWN (ARAB)",KEEP,
"1"" MINUS STOCKPILE",6,"1"" MINUS STOCKPILE",KEEP,
CONCRETE WASTE,6,CONCRETE WASTE,KEEP,
PERMITS,6,PERMITS,KEEP,
ROCK (HAULING),6,HAULING ROCK ONLY,KEEP,
STOCKPILING ROCK (HOURLY),6,HOURLY (STOCKPILING ROCK),KEEP,
TRAILER MOVE (HOURLY),6,HOURLY (TRAILER MOVE),KEEP,
"WASHED 1"" OPEN",6,"WASHED 1"" OPEN (DEXTER)",KEEP,
"2"" BASE",5,"2"" BASE (CAPITAL) | 2"" BASE (VBS)",KEEP,
90# RIP RAP,5,90# RIP RAP (CQ),KEEP,
BUSTED CONCRETE,5,BUSTED CONCRETE,KEEP,
COLD MIX (HOURLY),5,HOURLY (COLD MIX),KEEP,
RIP RAP (HOURLY),5,Hourly(RipRap),KEEP,
WASTE CONCRETE,5,WASTE CONCRETE (SEMO CONCRETE) | WASTE CONCRETE,KEEP,
WASTE ROCK (HOURLY),5,HOURLY (WASTE ROCK),KEEP,
"2 1/2"" CLEAN",4,"2 1/2"" CLEAN (ARAB)",REVIEW,Low volume
"2"" CLEAN BLACK",4,"2"" CLEAN BLACK (BUTLER HILL)",REVIEW,Low volume
CC FEE,4,CC FEE (3%),DELETE,
D. BALLAST,4,D. BALLAST,REVIEW,Low volume
DIRT HAUL OFF (HOURLY),4,HOURLY (DIRT HAUL OFF),REVIEW,Low volume
ENTRANCES (HOURLY),4,HOURLY (ENTRANCES),REVIEW,Low volume
HOLD TIME (HOURLY),4,HOURLY HOLD TIME ,REVIEW,Low volume
MAINTENANCE (HOURLY),4,HOURLY (MAINTENANCE),REVIEW,Low volume
MATERIAL,4,MATERIAL (WS) | MATERIAL (BRENDAKAY) | MATERIAL (HEARTLAND),REVIEW,Low volume
MOVING LAB TRAILER,4,MOVING LAB TRAILER,REVIEW,Low volume
MULCH,4,MULCH,REVIEW,Low volume
RIP RAP #400,4,RIP RAP #400 (SEMO) | RIP RAP #400,REVIEW,Low volume
SHOW UP,4,SHOW UP,REVIEW,Low volume
"1"" BASE COLT",3,"1"" BASE COLT",REVIEW,Low volume
"1"" C (HAUL BACK)",3,"1"" C (BACKHAUL)",REVIEW,Low volume
"1"" MINUS GRAY",3,"1"" MINUS GRAY (ARAB)",REVIEW,Low volume
400# RIP RAP,3,400# RIP RAP,REVIEW,Low volume
"6"" CLEAN COM TRAP",3,"6"" CLEAN COM TRAP (BUTLERHILL) | 6"" CLEAN COM TRAP",REVIEW,Low volume
CLEAN UP PLANT (HOURLY),3,HOURLY (CLEAN UP PLANT),REVIEW,Low volume
CONCRETE (HOURLY),3,HOURLY (CONCRETE),REVIEW,Low volume
CONCRETE HAUL OFF (HOURLY),3,HOURLY (CONCRETE HAUL OFF),REVIEW,Low volume
EXCAVATOR WORK,3,EXCAVATOR WORK,REVIEW,Low volume
"FR 1/4"" MINUS",3,"FR 1/4"" MINUS (SEMO)",REVIEW,Low volume
MASONRY SAND,3,MASONARY SAND (BK) | MASONARY SAND (DEXTER),REVIEW,Low volume
OVERSIZED WASH GRAVEL,3,OVERSIZED WASH GRAVEL | OVERSIZED WASH GRAVEL (WS),REVIEW,Low volume
PLANT MOVE,3,PLANT MOVE,REVIEW,Low volume
REJECTED LOAD (HOURLY),3,HOURLY REJECTED LOAD ,REVIEW,Low volume
RIP RAP,3,RIPRAP (CC) | RIP RAP (ARAB),REVIEW,Low volume
SAND (HOURLY),3,HOURLY (SAND) FARMINGTON,REVIEW,Low volume
SAWDUST,3,SAWDUST,REVIEW,Low volume
SHINGLES (HOURLY),3,HOURLY (SHINGLES) FARMINGTON,REVIEW,Low volume
SHOULDERS/RAMPS (HOURLY),3,HOURLY (SHOULDERS/RAMPS),REVIEW,Low volume
SKID STEER WORK,3,SKID STEER WORK,REVIEW,Low volume
TYPE 2 DITCH LINER,3,TYPE 2 DITCH LINER (ARAB),REVIEW,Low volume
WASTE ROCK,3,WASTE ROCK,REVIEW,Low volume
WOOD CHIPS/MULCH,3,WOOD CHIPS/MULCH (ELLSINORE),REVIEW,Low volume
"1"" BASE (HOURLY)",2,"HOURLY (1"" BASE)",REVIEW,Low volume
"1.5"" GRAVEL",2,"1.5"" GRAVEL (BK)",REVIEW,Low volume
200# RIP RAP,2,200# RIP RAP,REVIEW,Low volume
"3/4""",2,"3/4""",REVIEW,Low volume
"3/4"" DIRTY BASE",2,"3/4"" DIRTY BASE (GADS HILL)",REVIEW,Low volume
"3/8""",2,"3/8""",REVIEW,Low volume
"3/8"" PUGMILL AGGREGATE",2,"3/8"" PUGMILL AGGREGATE",REVIEW,Low volume
"6-8"" RIP RAP",2,"6-8"" RIP RAP (GH)",REVIEW,Low volume
BRIDGE WORK (HOURLY),2,HOURLY (BRIDGE WORK),REVIEW,Low volume
COLD MIX/HAUL BACK (HOURLY),2,HOURLY (COLD MIX/HAUL BACK),REVIEW,Low volume
DRIVE TIME,2,DRIVE TIME (PER KYLE),REVIEW,Low volume
ENDDUMP (HOURLY),2,HOURLY (ENDDUMP),REVIEW,Low volume
"GABION 4-6""",2,"GABION 4-6""",REVIEW,Low volume
GENERAL (HAULING),2,HAULING (ROCK),REVIEW,Low volume
GRAVEL,2,GRAVEL,REVIEW,Low volume
HAULING (HOURLY),2,HOURLY HAULING,REVIEW,Low volume
INTERSECTION REPAIR (HOURLY),2,HOURLY (INTERSECTION REPAIR),REVIEW,Low volume
MOVING (HOURLY),2,HOURLY (MOVING),REVIEW,Low volume
PEA GRAVEL (MATERIAL ONLY),2,Pea Gravel (DRTY) DXTR (Material Only) | Pea Gravel (CLN) DXTR SND (Material Only),REVIEW,Low volume
PLANT CLEAN OUT (HOURLY),2,HOURLY (PLANT CLEAN OUT),REVIEW,Low volume
R400,2,R400 | R400 (ARAB),REVIEW,Low volume
RAMP MATERIAL (HOURLY),2,HOURLY (RAMP MATERIAL),REVIEW,Low volume
SCRAP CONCRETE,2,SCRAP CONCRETE,REVIEW,Low volume
SHOT ROCK HALED TO ARAB,2,SHOT ROCK HALED TO ARAB,REVIEW,Low volume
STOCKPILE (HOURLY),2,HOURLY (Stockpile),REVIEW,Low volume
(DRIVWAY REPAIR & SHOULDER ROCK (HOURLY),1,HOURLY (DRIVWAY REPAIR & SHOULDER ROCK,REVIEW,Low volume
1 1/8 LNDSCP BLND,1,1 1/8 LNDSCP BLND (BK),REVIEW,Low volume
"1"" CLEAN LANDSCAPE BLK",1,"1"" CLEAN LANDSCAPE BLK (BUTLER HILL)",REVIEW,Low volume
"1"" CLEAN WASH ROCK",1,"1"" CLEAN WASH ROCK (BLUEWING-DON)",REVIEW,Low volume
"1"" CLN BLK LNDSCAPE",1,"1"" CLN BLK LNDSCAPE (CS)",REVIEW,Low volume
"1"" CLN LNDSCP TRAP",1,"1"" CLN LNDSCP TRAP (CENTRAL STONE)",REVIEW,Low volume
"1"" M (HAUL BACK)",1,"1"" M (BACKHAUL)",REVIEW,Low volume
"1"" MINUS (HAULING)",1,"1"" MINUS (GRAY'S POINT) HAULING ONLY",REVIEW,Low volume
"1/2"" CLASS",1,"1/2"" CLASS",REVIEW,Low volume
"1/2"" MINUS COMM BASE",1,"1/2"" MINUS COMM BASE (HL)",REVIEW,Low volume
"2 2"" MINUS",1,"2 2"" MINUS (WS)",REVIEW,Low volume
3/8 CHIPS,1,3/8 CHIPS,REVIEW,Low volume
"3/8"" CLEAN 3/4"" CLEAN",1,"3/8"" CLEAN 3/4"" CLEAN",REVIEW,Low volume
"6"" CLEAN",1,"6"" CLEAN (CQ)",REVIEW,Low volume
"6"" MINUS/HAULING ONLY (HAULING)",1,"6"" MINUS/HAULING ONLY",REVIEW,Low volume
"8"" BASE ROCK",1,"8"" BASE ROCK (BW)",REVIEW,Low volume
"8"" CLN (MATERIAL ONLY)",1,"8"" CLN (CAP QUARRIES) Material Only",REVIEW,Low volume
ASPHALT 614,1,ASPHALT 614,REVIEW,Low volume
ASPHALT/CLEAN UP (HOURLY),1,HOURLY (ASPHALT/CLEAN UP),REVIEW,Low volume
CALIBRATE (HOURLY),1,HOURLY (CALIBRATE),DELETE,
CAREER DAY (HOURLY),1,HOURLY (CAREER DAY),DELETE,
CHAT,1,CHAT,REVIEW,Low volume
CLAY BASE,1,CLAY BASE (ICM-ARAB),REVIEW,Low volume
CLAY STRIPPING,1,CLAY STRIPPING (WS),REVIEW,Low volume
CLEAN UP,1,CLEAN UP,REVIEW,Low volume
COAL HAUL (HOURLY),1,HOURLY (COAL HAUL),REVIEW,Low volume
COLD MIX,1,COLD MIX (WS),REVIEW,Low volume
COLT R&L (HAULING AND SPREADING),1,COLT R&L (MAT/HAUL/SPRDNG),REVIEW,Low volume
COW MANURE,1,COW MANURE,REVIEW,Low volume
CREEK GRAVEL,1,CREEK GRAVEL (WS),REVIEW,Low volume
CURB MIX (HOURLY),1,HOURLY (CURB MIX),REVIEW,Low volume
DIRT (MATERIAL ONLY),1,DIRT (MATERIAL ONLY),REVIEW,Low volume
DRY ROCK (HOURLY),1,HOURLY (DRY ROCK),REVIEW,Low volume
EXCAVATOR (HOURLY),1,HOURLY EXCAVATOR,REVIEW,Low volume
"FR 1/2""",1,"FR 1/2"" (SEMO)",REVIEW,Low volume
"FR 1/2"" DOLOMITE",1,"FR 1/2"" DOLOMITE (SEMO)",REVIEW,Low volume
GABION 4X6,1,GABION 4X6 (BR),REVIEW,Low volume
GABION STONE (HOURLY),1,HOURLY (GABION STONE),REVIEW,Low volume
GUMBO,1,GUMBO,REVIEW,Low volume
HUB OIL,1,HUB OIL (NAPA),REVIEW,Low volume
INTERSECTION (HOURLY),1,HOURLY (INTERSECTION),REVIEW,Low volume
MILLINGS ESS PLANT SITE 25,1,MILLINGS ESS PLANT SITE 25,REVIEW,Low volume
MISC,1,MISC,REVIEW,Low volume
MIX,1,MIX,REVIEW,Low volume
MOVING LIME GRAIN BINS TO FLD (HOURLY),1,HOURLY (MOVING LIME GRAIN BINS TO FLD),REVIEW,Low volume
OTHER,1,OTHER,REVIEW,Low volume
OVER 20 TON (HOURLY),1,HOURLY (OVER 20 TON),DELETE,
OVERSIZE LANDSCAPE GRAVEL,1,OVERSIZE LANDSCAPE GRAVEL,REVIEW,Low volume
POTASH,1,POTASH (DYERSBURG),REVIEW,Low volume
RAP PB 614,1,RAP  PB 614,REVIEW,Low volume
RED LIME (SPREADING ONLY),1,RED LIME (SPREADING ONLY),REVIEW,Low volume
REMOVING ASPHALT (HOURLY),1,HOURLY (REMOVING ASPHALT),REVIEW,Low volume
ROCK FROM STOCKPILE,1,ROCK FROM STOCKPILE,REVIEW,Low volume
SHINGLE GRINDER MOVE (HOURLY),1,HOURLY (SHINGLE GRINDER MOVE),REVIEW,Low volume
SHOW UP/ MILL & FILL,1,SHOW UP/ MILL & FILL,REVIEW,Low volume
SLATE LANDSCAPING ROCK,1,SLATE LANDSCAPING ROCK (SEMO Land Designs),REVIEW,Low volume
TIRE,1,TIRE,DELETE,
TRADE,1,TRADE (HAY BALES),REVIEW,Low volume
UNDER 18 TON (HOURLY),1,HOURLY (UNDER 18 TON),DELETE,
WASH MANUFACTURED,1,WASH MANUFACTURED (TRAP),REVIEW,Low volume
WASHED PEA GRAVEL,1,WASHED PEA GRAVEL (ICM-DONIPHAN),REVIEW,Low volume
WHITE LIME (SPREADING ONLY),1,WHITE LIME (SPREADING ONLY),REVIEW,Low volume
